 time      seg dst      amp      flag
 2691      7   0.803    9.994    1  
 2691      7   0.803    9.994    1  
 2805      7   0.835    558.166  9  
 2805      7   0.835    558.166  9  
 2863      7   0.795    581.835  9  
 2863      7   0.795    581.835  9  
 2978      7   0.718    546.260  9  
 2978      6   0.860    583.393  9  
 2978      5   0.926    258.219  1  
 2978      7   0.718    546.260  9  
 2978      6   0.860    583.393  9  
 2978      5   0.926    258.219  1  
 3038      7   0.701    511.552  9  
 3038      6   0.822    581.011  9  
 3038      5   0.887    570.706  9  
 3038      7   0.701    511.552  9  
 3038      6   0.822    581.011  9  
 3038      5   0.887    570.706  9  
 3149      7   0.736    511.650  9  
 3149      6   0.799    511.820  9  
 3149      5   0.822    511.762  9  
 3149      4   0.868    588.895  9  
 3149      3   0.914    546.200  9  
 3149      1   -0.500   40.503   65 
 3149      7   0.736    511.650  9  
 3149      6   0.799    511.820  9  
 3149      5   0.822    511.762  9  
 3149      4   0.868    588.895  9  
 3149      3   0.914    546.200  9  
 3149      1   -0.500   40.503   65 
 3266      7   0.823    555.650  9  
 3266      6   0.859    511.684  9  
 3266      5   0.856    511.674  9  
 3266      4   0.882    511.723  9  
 3266      3   0.889    511.374  9  
 3266      2   0.974    589.397  9  
 3266      1   1.174    393.388  1  
 3266      0   -0.500   63.442   65 
 3266      7   0.823    555.650  9  
 3266      6   0.859    511.684  9  
 3266      5   0.856    511.674  9  
 3266      4   0.882    511.723  9  
 3266      3   0.889    511.374  9  
 3266      2   0.974    589.397  9  
 3266      1   1.174    393.388  1  
 3266      0   -0.500   63.442   65 
 3319      7   0.868    511.686  9  
 3319      6   0.906    560.588  9  
 3319      5   0.891    511.786  9  
 3319      4   0.912    511.592  9  
 3319      3   0.909    511.538  9  
 3319      2   0.965    511.614  9  
 3319      1   1.048    596.396  9  
 3319      7   0.868    511.686  9  
 3319      6   0.906    560.588  9  
 3319      5   0.891    511.786  9  
 3319      4   0.912    511.592  9  
 3319      3   0.909    511.538  9  
 3319      2   0.965    511.614  9  
 3319      1   1.048    596.396  9  
 3437      7   0.999    546.612  9  
 3437      6   1.028    583.347  9  
 3437      5   0.975    511.817  9  
 3437      4   0.993    554.358  9  
 3437      3   0.971    511.859  9  
 3437      2   1.002    511.500  9  
 3437      1   0.995    511.752  9  
 3437      0   1.028    536.353  9  
 3437      7   0.999    546.612  9  
 3437      6   1.028    583.347  9  
 3437      5   0.975    511.817  9  
 3437      4   0.993    554.358  9  
 3437      3   0.971    511.859  9  
 3437      2   1.002    511.500  9  
 3437      1   0.995    511.752  9  
 3437      0   1.028    536.353  9  
 3552      7   1.122    554.578  9  
 3552      6   1.146    575.671  9  
 3552      5   1.116    552.172  9  
 3552      4   1.104    580.499  9  
 3552      3   1.069    549.508  9  
 3552      2   1.097    578.798  9  
 3552      1   1.050    511.538  9  
 3552      0   1.093    580.588  9  
 3552      7   1.122    554.578  9  
 3552      6   1.146    575.671  9  
 3552      5   1.116    552.172  9  
 3552      4   1.104    580.499  9  
 3552      3   1.069    549.508  9  
 3552      2   1.097    578.798  9  
 3552      1   1.050    511.538  9  
 3552      0   1.093    580.588  9  
 3609      7   1.171    567.110  9  
 3609      6   1.201    578.744  9  
 3609      5   1.173    563.563  9  
 3609      4   1.175    577.502  9  
 3609      3   1.138    572.286  9  
 3609      2   1.158    570.298  9  
 3609      1   1.115    550.465  9  
 3609      0   1.141    571.031  9  
 3609      7   1.171    567.110  9  
 3609      6   1.201    578.744  9  
 3609      5   1.173    563.563  9  
 3609      4   1.175    577.502  9  
 3609      3   1.138    572.286  9  
 3609      2   1.158    570.298  9  
 3609      1   1.115    550.465  9  
 3609      0   1.141    571.031  9  
 3723      7   1.263    576.111  9  
 3723      6   1.273    579.566  9  
 3723      5   1.264    571.138  9  
 3723      4   1.275    577.876  9  
 3723      3   1.248    571.895  9  
 3723      2   1.261    575.470  9  
 3723      1   1.220    541.605  9  
 3723      0   1.251    581.636  9  
 3723      7   1.263    576.111  9  
 3723      6   1.273    579.566  9  
 3723      5   1.264    571.138  9  
 3723      4   1.275    577.876  9  
 3723      3   1.248    571.895  9  
 3723      2   1.261    575.470  9  
 3723      1   1.220    541.605  9  
 3723      0   1.251    581.636  9  
 3781      7   1.318    571.784  9  
